id: 0x4f4, data: ['0x00', '0x00', '0x00', '0x00', '0x7d', '0x00', '0x00', '0xee'], timestamp: 1723602079.8425741
id: 0x751, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0xc0', '0x00', '0x00'], timestamp: 1723602079.8630738
id: 0x7db, data: ['0xa9', '0x61', '0xe1', '0x7c', '0xd8', '0x54', '0xd2', '0x91'], timestamp: 1723602079.8845766
id: 0x5c3, data: ['0x00', '0x32', '0x00', '0x00', '0x00', '0x00', '0x81', '0x00'], timestamp: 1723602079.9080756
id: 0x785, data: ['0x82', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602079.9300747
id: 0x21f, data: ['0x00', '0x74', '0x98', '0x54', '0x82', '0x00', '0x33', '0xc2'], timestamp: 1723602079.9505746
id: 0x126, data: ['0x00', '0x2a', '0xc8', '0x00', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602079.970574
id: 0x4c8, data: ['0x06', '0x6b', '0x00', '0x63', '0x00', '0xd3', '0x67', '0x00'], timestamp: 1723602079.9900742
id: 0x23d, data: ['0x00', '0x00', '0x2a', '0x14', '0x4f', '0x49', '0x1f', '0xca'], timestamp: 1723602080.0110765
id: 0x2d8, data: ['0x00', '0x00', '0x00', '0x00', '0x27', '0x00', '0x00', '0x00'], timestamp: 1723602080.0320737
id: 0x215, data: ['0xdc', '0x79', '0x8d', '0x00', '0x69', '0x00', '0x7d', '0x00'], timestamp: 1723602080.0515766
id: 0x33c, data: ['0x73', '0x1b', '0x71', '0xc5', '0x1b', '0xf2', '0xd6', '0x9f'], timestamp: 1723602080.0715735
id: 0x009, data: ['0x00', '0x00', '0xe1', '0x00', '0x00', '0x00', '0x00', '0x7f'], timestamp: 1723602080.0915737
id: 0x759, data: ['0xfe', '0x4e', '0x8c', '0x2f', '0xe9', '0x3e', '0x83', '0xda'], timestamp: 1723602080.111574
id: 0x4ea, data: ['0xde', '0x3d', '0x16', '0x00', '0xaf', '0x00', '0x00', '0x00'], timestamp: 1723602080.1325755
id: 0x350, data: ['0x0f', '0x9b', '0xdd', '0xa0', '0x2a', '0x9e', '0x5c', '0xf9'], timestamp: 1723602080.1535735
id: 0x7ea, data: ['0x0a', '0x4e', '0x00', '0x00', '0x00', '0x0c', '0xf0', '0x00'], timestamp: 1723602080.1740735
id: 0x422, data: ['0x00', '0x00', '0x3e', '0x9d', '0xbb', '0x00', '0xf8', '0x00'], timestamp: 1723602080.1945765
id: 0x4f7, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x5c', '0x00', '0x79'], timestamp: 1723602080.2150736
id: 0x14e, data: ['0xce', '0x00', '0x9c', '0x00', '0x5f', '0x0c', '0x83', '0xaa'], timestamp: 1723602080.2355769
id: 0x7f1, data: ['0x51', '0x7e', '0x20', '0x00', '0xd2', '0x00', '0x17', '0xc5'], timestamp: 1723602080.2555735
id: 0x27c, data: ['0x7c', '0x71', '0x17', '0xc0', '0x12', '0x41', '0x00', '0xac'], timestamp: 1723602080.276074
id: 0x564, data: ['0x00', '0x00', '0x54', '0x00', '0x75', '0xe3', '0xd6', '0x1d'], timestamp: 1723602080.2965736
id: 0x5e7, data: ['0x65', '0xbf', '0xf5', '0xdd', '0x00', '0xc2', '0x00', '0x84'], timestamp: 1723602080.317076
id: 0x7d6, data: ['0x00', '0x00', '0x00', '0x00', '0x1d', '0x00', '0x00', '0x00'], timestamp: 1723602080.3375747
id: 0x5cc, data: ['0xc6', '0x00', '0x54', '0x71', '0xb5', '0xad', '0x23', '0x26'], timestamp: 1723602080.3585744
id: 0x21f, data: ['0x00', '0x00', '0x00', '0x86', '0xd6', '0x4e', '0x00', '0x00'], timestamp: 1723602080.3780735
id: 0x132, data: ['0x00', '0x75', '0x40', '0x82', '0x66', '0xd5', '0x44', '0x00'], timestamp: 1723602080.3985734
id: 0x318, data: ['0x00', '0x00', '0xb6', '0x96', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602080.4190738
id: 0x5a3, data: ['0x82', '0x19', '0x56', '0x87', '0xf1', '0xc6', '0x71', '0x4f'], timestamp: 1723602080.4390738
id: 0x738, data: ['0x00', '0xd9', '0xb5', '0x8d', '0xe8', '0xc5', '0xa7', '0x00'], timestamp: 1723602080.4595735
id: 0x6b6, data: ['0x00', '0x00', '0x00', '0xc6', '0x46', '0x00', '0x00', '0xd5'], timestamp: 1723602080.4800742
id: 0x78e, data: ['0x00', '0x0a', '0x00', '0x00', '0xa8', '0x00', '0x00', '0x00'], timestamp: 1723602080.5005758
id: 0x2a5, data: ['0x7e', '0x75', '0xf2', '0x44', '0x00', '0xd1', '0xce', '0x1a'], timestamp: 1723602080.5200734
id: 0x655, data: ['0x00', '0x00', '0x00', '0x00', '0xf9', '0x6e', '0x2b', '0x00'], timestamp: 1723602080.5400772
id: 0x333, data: ['0x00', '0xd7', '0x54', '0x1d', '0x67', '0x00', '0x4e', '0xe7'], timestamp: 1723602080.5620737
id: 0x786, data: ['0x00', '0xac', '0x00', '0x3d', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602080.5820763
id: 0x080, data: ['0x00', '0xa7', '0x00', '0x00', '0x00', '0x00', '0x00', '0x11'], timestamp: 1723602080.602574
id: 0x4f9, data: ['0x00', '0x00', '0xb5', '0x6f', '0x6c', '0x53', '0x00', '0xef'], timestamp: 1723602080.6225736
id: 0x20d, data: ['0x3d', '0x39', '0x2c', '0x57', '0xe2', '0xf1', '0x00', '0x75'], timestamp: 1723602080.6430767
id: 0x255, data: ['0x2c', '0x00', '0x6b', '0x49', '0x00', '0x00', '0x00', '0x00'], timestamp: 1723602080.6640744
id: 0x043, data: ['0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x00', '0x26'], timestamp: 1723602080.6860747
id: 0x444, data: ['0x00', '0x00', '0x3e', '0x2f', '0x00', '0x91', '0x00', '0x00'], timestamp: 1723602080.7070737
id: 0x42b, data: ['0x3c', '0xdd', '0x9f', '0x32', '0xb3', '0x76', '0x91', '0x55'], timestamp: 1723602080.7270756
